"","Diretoria.Regional","Código.IBGE","municipio","n_alunos","n_alunos_recebeu","perc_alunos_recebeu","n_alunos_pobres","n_alunos_recebeu_pobres","perc_alunos_recebeu_pobres"
"245","Muriaé",3122009,"DIVINO",732,434,0.592896174863388,509,55,0.108055009823183
"246","Governador Valadares",3122108,"DIVINO DAS LARANJEIRAS",239,229,0.9581589958159,20,14,0.7
"247","Governador Valadares",3122207,"DIVINOLANDIA DE MINAS",373,355,0.951742627345844,44,19,0.431818181818182
"248","Divinópolis",3122306,"DIVINOPOLIS",442,418,0.945701357466063,867,106,0.122260668973472
"249","Salinas",3122355,"DIVISA ALEGRE",224,217,0.96875,28,11,0.392857142857143
"250","Poços de Caldas",3122405,"DIVISA NOVA",69,66,0.956521739130435,70,5,0.0714285714285714
"251","Almenara",3122454,"DIVISOPOLIS",588,537,0.913265306122449,26,16,0.615384615384615
"252","Paracatu",3122470,"DOM BOSCO",147,133,0.904761904761905,59,18,0.305084745762712
"253","Governador Valadares",3122504,"DOM CAVATI",81,81,1,31,4,0.129032258064516
"254","Diamantina",3122603,"DOM JOAQUIM",316,304,0.962025316455696,43,4,0.0930232558139535
"255","Timóteo",3122702,"DOM SILVERIO",94,57,0.606382978723404,16,2,0.125
"256","Varginha",3122801,"DOM VICOSO",13,12,0.923076923076923,37,7,0.189189189189189
"257","Juiz de Fora",3122900,"DONA EUZEBIA",56,39,0.696428571428571,44,4,0.0909090909090909
"258","São João Del Rei",3123007,"DORES DE CAMPOS",36,31,0.861111111111111,67,4,0.0597014925373134
"259","Governador Valadares",3123106,"DORES DE GUANHAES",146,83,0.568493150684932,68,27,0.397058823529412
"260","Divinópolis",3123205,"DORES DO INDAIA",45,43,0.955555555555556,72,5,0.0694444444444444
"261","Juiz de Fora",3123304,"DORES DO TURVO",182,180,0.989010989010989,23,1,0.0434782608695652
"262","Passos",3123403,"DORESOPOLIS",6,6,1,14,0,0
"263","Uberlândia",3123502,"DOURADOQUARA",61,57,0.934426229508197,15,1,0.0666666666666667
"264","Governador Valadares",3123528,"DURANDE",488,400,0.819672131147541,31,10,0.32258064516129
"265","Varginha",3123601,"ELOI MENDES",170,162,0.952941176470588,165,18,0.109090909090909
"266","Governador Valadares",3123700,"ENGENHEIRO CALDAS",245,236,0.963265306122449,64,19,0.296875
"267","Montes Claros",3123809,"ENGENHEIRO NAVARRO",516,482,0.934108527131783,7,6,0.857142857142857
"268","Timóteo",3123858,"ENTRE FOLHAS",179,133,0.743016759776536,76,8,0.105263157894737
"269","São João Del Rei",3123908,"ENTRE RIOS DE MINAS",258,242,0.937984496124031,113,7,0.0619469026548673
"270","Muriaé",3124005,"ERVALIA",424,405,0.955188679245283,361,16,0.0443213296398892
"271","Metropolitana",3124104,"ESMERALDAS",1533,1253,0.817351598173516,537,88,0.163873370577281
"272","Muriaé",3124203,"ESPERA FELIZ",796,581,0.729899497487437,328,22,0.0670731707317073
"273","Montes Claros",3124302,"ESPINOSA",2276,2081,0.914323374340949,280,108,0.385714285714286
